"GENE","UniProt","FC","log2(FC)","raw.pval","-log10(p)","probe"
Pitrm1,"Q8K411",1.1638,0.2189,0.19885,0.70148,cg_0157
Insrr,"Q9WTL4",0.31602,-1.6619,0.19969,0.69965,cg_0158
Dld,"O08749",0.83681,-0.25702,0.20003,0.69891,cg_0159
Marcks,"P26645",0.83691,-0.25686,0.20022,0.6985,cg_0160
Actn1,"A1BN54",1.3416,0.42393,0.20051,0.69787,cg_0161
Arpc5,"Q9CPW4",1.3707,0.45494,0.20091,0.697,cg_0162
Glrx5,"Q80Y14",0.84669,-0.2401,0.20246,0.69366,cg_0163
Rpsa,"P14206",1.2533,0.32569,0.20346,0.69151,cg_0164
Srsf2,"Q8C671",0.69464,-0.52567,0.20461,0.68908,cg_0165
Txndc5,"E9PXX7",0.74291,-0.42874,0.20609,0.68594,cg_0166
Ewsr1,"Q5SUT0",0.81778,-0.29022,0.20685,0.68433,cg_0167
Gstm2,"P15626",1.2756,0.3512,0.21312,0.67138,cg_0168
Hmgcs2,"P54869",1.3161,0.39623,0.21376,0.67007,cg_0169
Ech1,"O35459",0.61556,-0.70003,0.21393,0.66973,cg_0170
Psma6,"Q9QUM9",0.77027,-0.37657,0.21552,0.66651,cg_0171
Sod2,"P09671",0.84393,-0.2448,0.21745,0.66265,cg_0172
Calu,"Q6XLQ8",0.84308,-0.24626,0.22126,0.6551,cg_0173
Fubp1,"A0A0G2JFY5",0.82365,-0.2799,0.22502,0.64778,cg_0174
Fbl,"Q3UJS2",1.4983,0.58333,0.2269,0.64417,cg_0175
Ybx1,"Q810K5",0.83156,-0.26611,0.22806,0.64195,cg_0176
Naxe,"Q8K4Z3",0.87068,-0.19978,0.22824,0.64161,cg_0177
Fkbp4,"P30416",1.3028,0.3816,0.22826,0.64157,cg_0178
Nme1,"Q5NC81",0.83347,-0.2628,0.2284,0.6413,cg_0179
Dpysl3,"E9PWE8",1.1691,0.22543,0.22988,0.63849,cg_0180
H2ac20,"Q149V4",1.2277,0.29596,0.23384,0.63108,cg_0181
Hp1bp3,"Q3TEA8",1.155,0.20795,0.23493,0.62905,cg_0182
Gapdh,"A0A0A0MQF6",1.161,0.21538,0.23497,0.629,cg_0183
Tubb4b,"P68372",1.1767,0.23474,0.23626,0.62661,cg_0184
Anp32a,"D3YYE1",0.81808,-0.28968,0.24058,0.61875,cg_0185
Cfl1,"P18760",0.88304,-0.17944,0.24442,0.61186,cg_0186
Pdia6,"Q3TML0",1.1423,0.19198,0.24446,0.6118,cg_0187
Mtpn,"P62774",0.79792,-0.32569,0.24705,0.60722,cg_0188
Rps9,"Q6ZWN5",1.1167,0.15928,0.25107,0.60021,cg_0189
Adh5,"P28474",0.8811,-0.18262,0.25236,0.59799,cg_0190
Msn,"P26041",1.1418,0.19136,0.25238,0.59795,cg_0191
Aldoa,"Q5FWB7",1.2112,0.27643,0.25976,0.58543,cg_0192
Itga9,"Q91YD5",1.5263,0.61007,0.26023,0.58464,cg_0193
Stmn1,"Q91XT3",0.80342,-0.31577,0.26141,0.58267,cg_0194
Krt16,"Q9Z2K1",0.55055,-0.86107,0.26238,0.58107,cg_0195
Septin7,"E9Q1G8",1.1979,0.26052,0.26372,0.57885,cg_0196
Actb,"Q3UAF6",1.4129,0.49862,0.26378,0.57876,cg_0197
Bphl,"Q3TDN8",1.4355,0.52156,0.26928,0.5698,cg_0198
Pa2g4,"Q3TGU7",1.1722,0.22928,0.27064,0.5676,cg_0199
Aldh6a1,"Q9EQ20",1.2743,0.34972,0.27187,0.56565,cg_0200
Cdc42,"P60766",1.2669,0.3413,0.27451,0.56144,cg_0201
Rbp1,"Q00915",1.2617,0.33541,0.27787,0.55616,cg_0202
Nes,"Q6P5H2",1.2329,0.30204,0.27962,0.55343,cg_0203
Cndp2,"Q9D1A2",0.8313,-0.26656,0.27991,0.55299,cg_0204
Rps25,"A0A1L1SQA8",0.73958,-0.43523,0.27996,0.5529,cg_0205
Lsm7,"Q9CQQ8",0.67061,-0.57645,0.28321,0.54789,cg_0206
Scpep1,"Q99J29",0.82587,-0.27601,0.28851,0.53984,cg_0207
Kars,"Q8CFK5",1.5655,0.64662,0.28893,0.53921,cg_0208
Ivd,"Q9JHI5",1.1721,0.22909,0.2892,0.5388,cg_0209
Hnrnph1,"Q8C2Q7",1.1467,0.19747,0.28941,0.53849,cg_0210
Psap,"K3W4L3",0.66124,-0.59675,0.28963,0.53815,cg_0211
Ranbp1,"Q3U6M5",0.80736,-0.30872,0.29089,0.53626,cg_0212
P4hb,"P09103",0.90013,-0.1518,0.29658,0.52786,cg_0213
Rpl29,"P47915",0.73367,-0.4468,0.29674,0.52762,cg_0214
Gpi,"P06745",1.131,0.17759,0.29695,0.52732,cg_0215
Iars2,"Q8BIJ6",1.0768,0.10674,0.29783,0.52603,cg_0216
Gdi2,"Q3UPA3",1.2799,0.35609,0.29871,0.52475,cg_0217
Fkbp1a,"Q3ULN5",0.90033,-0.15148,0.30407,0.51702,cg_0218
Ezr,"Q3UXR4",1.2269,0.29496,0.30691,0.51299,cg_0219
Atox1,"O08997",0.79563,-0.32984,0.31108,0.50713,cg_0220
Srrm1,"F6T4M4",1.3763,0.46078,0.31125,0.50688,cg_0221
Apoa2,"P09813",0.87114,-0.19902,0.31209,0.50572,cg_0222
Nucks1,"A0A087WRY3",0.74538,-0.42395,0.31258,0.50504,cg_0223
Rpl13a,"P19253",1.3083,0.3877,0.31296,0.50451,cg_0224
Hspb1,"Q545F4",1.2282,0.2965,0.31321,0.50417,cg_0225
Galm,"Q8K157",1.1958,0.25796,0.31432,0.50262,cg_0226
Thrap3,"Q569Z6",0.82405,-0.2792,0.31534,0.50122,cg_0227
Tpm2,"Q6PJ18",0.84492,-0.24311,0.31862,0.49673,cg_0228
Rpl10a,"A0A3B2WDD2",1.1964,0.25864,0.31942,0.49564,cg_0229
Hsp90b1,"Q3UBU0",1.2149,0.28086,0.3204,0.4943,cg_0230
Apex1,"P28352",1.2608,0.33438,0.32073,0.49386,cg_0231
Srsf3,"Q3U781",0.67266,-0.57206,0.32082,0.49374,cg_0232
Glo1,"A5GZX3",0.7342,-0.44575,0.32091,0.49361,cg_0233
Khsrp,"Q3U0V1",0.85676,-0.22304,0.32163,0.49265,cg_0234
C1qbp,"Q8R5L1",0.82278,-0.28142,0.3217,0.49255,cg_0235
Actn4,"A0A1L1SV25",1.1309,0.17745,0.32202,0.49211,cg_0236
Psmd1,"Q3TXS7",1.3243,0.40518,0.32217,0.49192,cg_0237
Flna,"B7FAV1",1.2542,0.32674,0.32652,0.48609,cg_0238
Atp5pf,"P97450",0.70456,-0.50521,0.32716,0.48524,cg_0239
Rplp1,"Q58E35",0.72467,-0.4646,0.32806,0.48404,cg_0240
Vdac1,"Q60932",1.2751,0.35059,0.33078,0.48046,cg_0241
Eef2,"Q3UMI7",1.1074,0.14719,0.33148,0.47954,cg_0242
Acat1,"Q3TQP7",1.1449,0.19526,0.33159,0.4794,cg_0243
Rab1a,"Q0PD67",1.2076,0.27219,0.33187,0.47903,cg_0244
Grhpr,"D6REG4",1.2634,0.33729,0.33225,0.47854,cg_0245
Pcx,"G5E8R3",1.3789,0.46356,0.33254,0.47816,cg_0246
Gm2a,"Q60648",0.78961,-0.3408,0.33284,0.47777,cg_0247
Krt76,"Q3UV17",1.1997,0.26266,0.33599,0.47367,cg_0248
Canx,"Q3TXE5",1.1267,0.17207,0.33635,0.47321,cg_0249
Hsd17b10,"Q9CYT3",1.6111,0.68807,0.33643,0.4731,cg_0250
Rac1,"Q9D859",1.1629,0.21769,0.33682,0.47261,cg_0251
Eef1b,"O70251",0.74573,-0.42328,0.33707,0.47228,cg_0252
Rpl13,"P47963",1.0969,0.13346,0.3384,0.47057,cg_0253
Aldh1b1,"Q9CZS1",1.312,0.39175,0.33867,0.47022,cg_0254
Esd,"Q9R0P3",1.1074,0.14723,0.33899,0.46981,cg_0255
Nudc,"O35685",0.61976,-0.69022,0.34039,0.46802,cg_0256
mKIAA0034,"Q80U89",1.3097,0.38922,0.34244,0.46541,cg_0257
Tpi1,"P17751",0.85184,-0.23135,0.34306,0.46463,cg_0258
Mapre1,"Q3U4H0",1.1923,0.25371,0.34562,0.4614,cg_0259
Alb,"Q546G4",0.91748,-0.12426,0.34659,0.46018,cg_0260
Cirbp,"P60824",0.61373,-0.70433,0.35078,0.45496,cg_0261
Fasn,"Q3UHT6",1.536,0.61922,0.35091,0.4548,cg_0262
Tra2b,"F8WJG3",0.69825,-0.51818,0.35115,0.45451,cg_0263
Ldhb,"A0A6I8MX27",0.82824,-0.27188,0.35584,0.44875,cg_0264
Dnajc8,"A2ALF2",0.80404,-0.31467,0.36132,0.4421,cg_0265
Rps18,"Q561N5",1.162,0.21665,0.36173,0.44161,cg_0266
Akr1c18,"Q3U538",2.9682,1.5696,0.36482,0.43793,cg_0267
Krt19,"P19001",0.66181,-0.5955,0.36569,0.43689,cg_0268
Krt82,"Q99M74",1.5466,0.62912,0.36624,0.43623,cg_0269
Rpl18,"Q642K1",1.0962,0.13256,0.37053,0.43118,cg_0270
Efhd2,"Q8C845",0.77399,-0.36962,0.37121,0.43038,cg_0271
Rack1,"P68040",1.175,0.23264,0.37563,0.42524,cg_0272
Tpm1,"F8WID5",0.81912,-0.28785,0.37613,0.42467,cg_0273
Prdx6,"Q6GT24",0.88713,-0.17279,0.37845,0.42199,cg_0274
S100a4,"A0A0G2JGD2",0.88696,-0.17306,0.38164,0.41835,cg_0275
H2bc3,"Q64475",0.89861,-0.15424,0.38222,0.41768,cg_0276
Rpl27,"P61358",1.0823,0.11411,0.38666,0.41267,cg_0277
Cs,"Q9CZU6",1.1921,0.25354,0.38736,0.41189,cg_0278
Prmt1,"A0A171KXD3",1.1344,0.18189,0.38746,0.41177,cg_0279
Sh3d21,"Z4YK11",1.3232,0.40404,0.38971,0.40926,cg_0280
Aars,"Q6XMP4",1.0041,0.0059703,0.38973,0.40924,cg_0281
Luc7l2,"E9Q715",0.83713,-0.25647,0.39022,0.40869,cg_0282
Hnrnpa1,"Q3UK83",0.87127,-0.19881,0.39576,0.40257,cg_0283
Actr3,"Q3TGW0",1.1696,0.226,0.39707,0.40113,cg_0284
Septin2,"P42208",1.1168,0.15937,0.39711,0.40108,cg_0285
Atp5pb,"Q3TJD4",0.74843,-0.41805,0.39815,0.39996,cg_0286
Lrpap1,"Q52KI7",0.8513,-0.23226,0.39899,0.39904,cg_0287
Capg,"Q3UJ44",1.1182,0.16116,0.39904,0.39899,cg_0288
Lmna,"P48678",1.1803,0.23916,0.40085,0.39701,cg_0289
Sptbn1,"Q62261",1.2477,0.31924,0.40415,0.39346,cg_0290
Rps10,"P63325",1.2667,0.34108,0.4042,0.3934,cg_0291
Fh,"P97807",1.2394,0.30965,0.40546,0.39206,cg_0292
Clu,"Q549A5",0.85311,-0.22919,0.40563,0.39187,cg_0293
Cct3,"Q3UJP4",1.1603,0.2145,0.40841,0.38891,cg_0294
Syncrip,"G3UZI2",0.85351,-0.22852,0.4093,0.38796,cg_0295
Tardbp,"Q8R0B4",1.1056,0.14481,0.4099,0.38732,cg_0296
St13,"Q3U8D2",0.8983,-0.15473,0.41034,0.38685,cg_0297
Ndufs6,"P52503",1.1989,0.26172,0.41052,0.38666,cg_0298
Myh9,"Q8VDD5",1.333,0.4147,0.41135,0.38578,cg_0299
Atp5k,"Q5EBI8",0.66866,-0.58065,0.41187,0.38524,cg_0300
Akr1cl,"Q3UXL1",1.1924,0.25383,0.41283,0.38423,cg_0301
Hspd1,"P63038",0.87602,-0.19096,0.41394,0.38306,cg_0302
Actr2,"Q5SW83",1.1499,0.20148,0.41421,0.38278,cg_0303
Adh1,"P00329",0.80129,-0.31961,0.41618,0.38072,cg_0304
Cct4,"P80315",1.1835,0.24309,0.41729,0.37956,cg_0305
Rbmx,"A2AFI3",0.94155,-0.086886,0.41838,0.37843,cg_0306
Srsf4,"Q542V3",0.80834,-0.30697,0.41942,0.37736,cg_0307
Aldh7a1,"Q9DBF1",1.1232,0.1676,0.42151,0.37519,cg_0308
Hspa8,"Q3TEK2",1.2603,0.33374,0.42181,0.37488,cg_0309
Hsp90ab1,"Q71LX8",1.2061,0.27033,0.42296,0.3737,cg_0310
Phb1,"P67778",1.106,0.1454,0.4242,0.37243,cg_0311
Rpl21,"Q4VA28",1.2644,0.33849,0.42459,0.37203,cg_0312
-,"I6L9E2",0.88049,-0.18363,0.42517,0.37143,cg_0313
Cycs,"P62897",0.69135,-0.53251,0.42602,0.37057,cg_0314
Acadl,"A0A0R4J083",1.0491,0.069201,0.4265,0.37008,cg_0315
Lpp,"Q8BFW7",1.5031,0.58791,0.42654,0.37004,cg_0316
Rhoa,"Q9QUI0",1.127,0.1725,0.42679,0.36978,cg_0317
Hnrnpl,"G5E924",1.2673,0.3417,0.42935,0.36719,cg_0318
Hnrnpul1,"Q8VDM6",0.84716,-0.2393,0.43,0.36653,cg_0319
Aprt,"P08030",1.1079,0.14787,0.4308,0.36572,cg_0320
H1f3,"Q3U292",0.83091,-0.26724,0.4323,0.36422,cg_0321
S100a13,"P97352",0.53782,-0.89481,0.43541,0.3611,cg_0322
Ahcy,"Q3TF14",1.1112,0.15207,0.43552,0.361,cg_0323
Ahsg,"Q3TIU3",0.86032,-0.21705,0.43564,0.36087,cg_0324
Rpl7a,"Q58ET1",0.79531,-0.3304,0.43771,0.35881,cg_0325
Ctsd,"Q3TXL5",1.1142,0.15603,0.43886,0.35767,cg_0326
Hspg2,"B1B0C7",0.67373,-0.56975,0.4395,0.35704,cg_0327
Sf3b2,"Q80W39",1.2951,0.37307,0.44057,0.35598,cg_0328
Vcl,"Q64727",1.2228,0.29019,0.44192,0.35465,cg_0329
Krt6a,"P50446",1.2115,0.27678,0.44452,0.3521,cg_0330
Me1,"P06801",0.85216,-0.23081,0.44557,0.35108,cg_0331
Fhl1,"A2AEX6",1.5512,0.63336,0.44762,0.34909,cg_0332
Cyb5r3,"Q9DCN2",1.6192,0.69529,0.45031,0.34649,cg_0333
Sub1,"P11031",0.93182,-0.10188,0.452,0.34486,cg_0334
Ywhaq,"P68254",0.93003,-0.10465,0.45313,0.34378,cg_0335
Uba1,"A0A1S6GWH5",1.1764,0.23443,0.45475,0.34222,cg_0336
Aoc3,"O70423",1.2924,0.37002,0.45673,0.34034,cg_0337
Srsf7,"Q8BL97",0.69685,-0.52109,0.46047,0.3368,cg_0338
Atic,"Q9CWJ9",1.1964,0.25874,0.46299,0.33443,cg_0339
Nqo2,"Q9CVF5",1.1915,0.25279,0.46433,0.33317,cg_0340
Phpt1,"Q9DAK9",1.3819,0.46662,0.46812,0.32964,cg_0341
Vim,"Q3U6S1",0.91855,-0.12256,0.47005,0.32785,cg_0342
Ppid,"Q9CR16",1.1855,0.24549,0.47112,0.32687,cg_0343
Tcp1,"P11983",1.1738,0.23121,0.47138,0.32663,cg_0344
Rcn3,"A0A1B0GSK5",0.81029,-0.30349,0.47396,0.32426,cg_0345
Psmb7,"Q5D098",0.86945,-0.20182,0.47538,0.32296,cg_0346
Cnbp,"Q3ULK8",1.1655,0.221,0.4828,0.31623,cg_0347
Ogdh,"Q60597",1.2277,0.29592,0.4842,0.31498,cg_0348
Akr1b7,"P21300",1.2131,0.27865,0.48506,0.3142,cg_0349
